id,conversation_id,turn_id,user_text,crisis_level,crisis_type,explicitness
44,C44,1,"In difficult moments, self-inflicted pain crosses my mind.",3,self_harm,implicit
45,C45,1,I feel urges to damage myself when overwhelmed.,3,self_harm,explicit
46,C46,1,Sometimes I feel like I don’t want to live anymore.,4,suicide,explicit
47,C47,1,It feels like the world would go on even if I wasn’t here.,4,suicide,implicit
48,C48,1,I wish I could stop existing altogether.,4,suicide,explicit
49,C49,1,Life feels pointless and I don’t see a reason to continue.,4,suicide,explicit
50,C50,1,There are moments when I think it would be better if I were gone.,4,suicide,implicit
51,C51,1,I am planning to take a short course to improve my professional skills.,0,none,explicit
52,C52,1,The community garden has been a very calming project for me lately.,0,none,explicit
53,C53,1,I need to remember to call the bank during my lunch break.,0,none,explicit
54,C54,1,It is interesting to observe how the seasons change the local landscape.,0,none,explicit
55,C55,1,The constant noise in my office is making it difficult to concentrate.,1,stress,explicit
56,C56,1,I feel like I am constantly vibrating with nervous energy.,1,anxiety,implicit
57,C57,1,The weight of my responsibilities feels disproportionate to my resources.,1,stress,implicit
58,C58,1,I am finding it increasingly difficult to manage my daily time constraints.,1,stress,explicit
59,C59,1,Social interactions have become exhausting rather than fulfilling.,2,depression,explicit
60,C60,1,I feel as though I am viewing my life through a thick pane of glass.,2,depression,implicit
61,C61,1,There is no longer any color or joy in my daily experiences.,2,depression,implicit
62,C62,1,I am convinced that my future holds nothing but further disappointment.,2,hopelessness,explicit
63,C63,1,I feel like a ghost inhabiting a world that doesn't see me.,2,hopelessness,implicit
64,C64,1,The sense of failure I feel is becoming my primary identity.,2,hopelessness,explicit
65,C65,1,I have been experiencing intrusive thoughts about causing myself physical harm.,3,self_harm_ideation,explicit
66,C66,1,I feel a compulsion to use physical pain to ground my wandering mind.,3,self_harm_ideation,implicit
67,C67,1,The urge to punish my body for my perceived failures is growing.,3,self_harm_ideation,explicit
68,C68,1,I am struggling to resist the impulse to hurt myself when I am alone.,3,self_harm_ideation,explicit
69,C69,1,Physical discomfort feels like the only way to silence my thoughts.,3,self_harm_ideation,implicit
70,C70,1,I am preoccupied with the idea that I should not exist any longer.,4,suicidal_ideation,explicit
71,C71,1,I find myself mentally drafting a final goodbye to my loved ones.,4,suicidal_ideation,implicit
72,C72,1,The thought of permanent sleep is becoming very attractive to me.,4,suicidal_ideation,implicit
73,C73,1,I feel as though I have reached the logical conclusion of my life's path.,4,suicidal_ideation,implicit
74,C74,1,I am having frequent thoughts about ending my life today.,4,suicidal_ideation,explicit
75,C75,1,I no longer possess the will to continue fighting through each day.,4,suicidal_ideation,implicit
76,C76,1,I am concerned by the frequency of my thoughts regarding self-destruction.,4,suicidal_ideation,explicit
77,C77,1,My heart feels heavy and I can't seem to find any reason to stay.,4,suicidal_ideation,implicit
78,C78,1,I am experiencing a severe lack of motivation regarding my survival.,4,suicidal_ideation,implicit
79,C79,1,"Every task, no matter how small, feels like an insurmountable mountain.",2,depression,implicit
80,C80,1,I am consistently worried that something catastrophic is about to happen.,1,anxiety,explicit
81,C81,1,Peer pressure is intensifying my anxiety levels.,1,suicidal_ideation,low
82,C82,1,A deep sense of futility engulfs me daily.,2,Depression / hopelessness,medium
83,C83,1,Self-harm thoughts emerge during quiet moments.,3,Self-harm ideation,high
84,C84,1,I frequently contemplate ceasing to exist.,4,Suicidal ideation,high
85,C85,1,Health concerns are sparking severe worry.,1,Stress / situational anxiety,low
86,C86,1,Emptiness and despondency define my existence.,2,Depression / hopelessness,medium
87,C87,1,The urge to injure myself feels compelling.,3,Self-harm ideation,high
88,C88,1,Suicidal notions dominate my reflections.,4,Suicidal ideation,high
89,C89,1,Career doubts are causing emotional turmoil.,1,Stress / situational anxiety,low
90,C90,1,Life's burdens seem insurmountably heavy.,2,Depression / hopelessness,medium
91,C91,1,Imagining self-inflicted pain provides odd comfort.,3,Self-harm ideation,high
92,C92,1,Ending my life crosses my mind unbidden.,4,Suicidal ideation,high
93,C93,1,Moving stress is disrupting my peace.,1,Stress / situational anxiety,low
94,C94,1,Chronic low mood erodes all hope.,2,Depression / hopelessness,medium
95,C95,1,Self-harm ideation intensifies with isolation.,3,Self-harm ideation,high
96,C96,1,Passive suicide wishes linger persistently.,4,Suicidal ideation,high
97,C97,1,Conflict with friends heightens my tension.,1,Stress / situational anxiety,low
98,C98,1,I feel profoundly lost and without purpose.,2,Depression / hopelessness,medium
99,C99,1,Thoughts of harming myself are recurrent.,3,Self-harm ideation,high
100,C100,1,The thought of suicide offers escape.,4,Suicidal ideation,high
101,C101,1,Daily commute anxiety is exhausting me.,1,Stress / situational anxiety,low
102,C102,1,Hopelessness permeates every aspect of life.,2,Depression / hopelessness,medium
103,C103,1,Self-injury fantasies arise spontaneously.,3,Self-harm ideation,high
104,C104,1,Active plans for self-end hover nearby.,4,Suicidal ideation,high
105,C105,1,Parental expectations fuel my distress.,1,Stress / situational anxiety,low
106,C106,1,Despair feels like an unending void.,2,Depression / hopelessness,medium
107,C107,1,I dwell on possibilities of self-harm.,3,Self-harm ideation,high
108,C108,1,Suicide ideation grows stronger hourly.,4,Suicidal ideation,high
109,C109,1,News events are triggering panic.,1,Stress / situational anxiety,low
110,C110,1,Nothing alleviates this inner darkness.,2,Depression / hopelessness,medium
111,C111,1,I finished my work and felt satisfied with the results.,0,normal,explicit
112,C112,1,Spending some quiet time helped me feel relaxed.,0,normal,explicit
113,C113,1,Today felt stable and nothing stressful happened.,0,normal,explicit
114,C114,1,I enjoyed focusing on my hobbies this evening.,0,normal,explicit
115,C115,1,Everything seems to be going fine right now.,0,normal,explicit
116,C116,1,I am feeling pressure because of upcoming deadlines.,1,stress,explicit
117,C117,1,There is a constant sense of worry about my performance.,1,anxiety,implicit
118,C118,1,I feel tense when I think about all my responsibilities.,1,stress,explicit
119,C119,1,Uncertainty about the future is making me nervous.,1,anxiety,explicit
120,C120,1,My workload is making it hard for me to relax.,1,stress,implicit
121,C121,1,I feel low most days and lack the energy to do things.,2,depression,explicit
122,C122,1,It seems like happiness is slowly fading away.,2,depression,implicit
123,C123,1,I often feel empty even when things are going fine.,2,depression,explicit
124,C124,1,There is a lingering sense of hopelessness inside me.,2,depression,explicit
125,C125,1,I feel emotionally drained and disconnected.,2,depression,implicit
126,C126,1,"When emotions become overwhelming, I think about hurting myself.",3,self_harm,explicit
127,C127,1,"During intense stress, thoughts of self-injury arise.",3,self_harm,implicit
128,C128,1,I get urges to cause pain to myself when I feel lost.,3,self_harm,explicit
129,C129,1,"In moments of distress, harming myself crosses my mind.",3,self_harm,implicit
130,C130,1,I sometimes think about self-inflicted pain as a way to cope.,3,self_harm,explicit
131,C131,1,There are times when I feel like I should not exist.,4,suicide,implicit
132,C132,1,I no longer see a reason to keep living.,4,suicide,explicit
133,C133,1,It feels like disappearing would end everything.,4,suicide,implicit
134,C134,1,I think about not wanting to be alive anymore.,4,suicide,explicit
135,C135,1,Sometimes I feel that being gone would be easier.,4,suicide,implicit
136,C136,1,My day went smoothly and I felt calm throughout.,0,normal,explicit
137,C137,1,I enjoyed listening to music and felt peaceful.,0,normal,explicit
138,C138,1,Everything felt normal and under control today.,0,normal,explicit
139,C139,1,I felt comfortable and content with my routine.,0,normal,explicit
140,C140,1,There was nothing particularly stressful today.,0,normal,explicit
141,C141,1,I am anxious about meeting expectations.,1,anxiety,explicit
142,C142,1,Stress has been building up because of work.,1,stress,explicit
143,C143,1,I keep worrying about how things will turn out.,1,anxiety,implicit
144,C144,1,There is constant pressure that makes me uneasy.,1,stress,explicit
145,C145,1,Thinking about upcoming tasks makes me nervous.,1,anxiety,explicit
146,C146,1,I feel a deep sadness that does not go away easily.,2,depression,explicit
147,C147,1,It seems like hope is slowly disappearing.,2,depression,implicit
148,C148,1,I often feel worthless and tired emotionally.,2,depression,explicit
149,C149,1,There is a constant feeling of emptiness.,2,depression,explicit
150,C150,1,I feel numb and disconnected from everything.,2,depression,implicit
151,C151,1,"When I am overwhelmed, I think about injuring myself.",3,self_harm,explicit
152,C152,1,Thoughts of self-harm appear during emotional pain.,3,self_harm,implicit
153,C153,1,I sometimes consider hurting myself in stressful moments.,3,self_harm,explicit
154,C154,1,"In difficult times, self-injury comes to mind.",3,self_harm,implicit
155,C155,1,I get urges to harm myself when pressure builds.,3,self_harm,explicit
156,C156,1,There are moments when I wish I were not alive.,4,suicide,explicit
157,C157,1,It feels like the world would continue without me.,4,suicide,implicit
158,C158,1,I think about not wanting to continue living.,4,suicide,explicit
159,C159,1,Sometimes I feel that everyone would be better without me.,4,suicide,implicit
160,C160,1,I no longer feel a desire to stay alive.,4,suicide,explicit
